name,owner,language,size,updated_on,created_on,scm
xnu-speedstep,mercurysquad,,9609213,2012-06-24T17:46:57.765031+00:00,2008-08-16T06:09:07.136185+00:00,hg
partial-soc,frechtenstein,,9045,2012-06-24T17:47:18.237505+00:00,2008-08-16T16:06:08.642174+00:00,hg
pushtest,metaperl,,3677,2012-06-24T17:47:24.343941+00:00,2008-08-17T13:18:08.225593+00:00,hg
unitar,mg,,9802,2012-08-09T01:05:06.076886+00:00,2008-08-17T16:50:31.176145+00:00,hg
gutenberg-fb2,vkorablin,,28011,2012-06-24T17:47:25.634469+00:00,2008-08-17T20:38:03.899212+00:00,hg
test,sdkmvx,,3077,2012-06-24T17:47:26.040127+00:00,2008-08-17T23:22:59.807418+00:00,hg
test1,irieda,,3080,2012-06-24T17:47:26.448185+00:00,2008-08-18T02:27:13.637019+00:00,hg
tx-submissions,ctrochalakis,,1497035,2012-06-24T17:47:28.994744+00:00,2008-08-18T08:18:15.147370+00:00,hg
Impresion,trungus,,3042,2012-06-24T17:47:30.401281+00:00,2008-08-18T11:57:26.526520+00:00,hg
ldap2vcard,jespern,,7308,2012-06-24T17:47:31.252960+00:00,2008-08-18T15:05:43.404241+00:00,hg
reaps,reaper,,3077,2012-06-24T17:47:32.632369+00:00,2008-08-19T06:22:31.314742+00:00,hg
roomie_matt,Craterdome,,26217901,2011-09-17T04:06:42.735241+00:00,2008-08-19T20:24:48.815571+00:00,hg
roomie_david,dbergum,,26217898,2011-09-17T04:06:42.751948+00:00,2008-08-19T20:26:30.658898+00:00,hg
roomie_alex,ryuzaki09,,26218488,2011-09-17T04:06:42.722964+00:00,2008-08-19T20:26:36.533184+00:00,hg
roomiereal,kkubasik,,55388964,2011-09-17T08:55:57.753785+00:00,2008-08-20T00:17:47.402727+00:00,hg
roomiereal_john,kkubasik,,50109565,2011-09-17T08:55:57.790312+00:00,2008-08-20T03:37:16.302061+00:00,hg
challenge-ladder,metaperl,,3125,2012-06-24T17:47:33.778247+00:00,2008-08-20T03:58:46.981815+00:00,hg
Viper,Viper,,3077,2012-06-24T17:47:34.523190+00:00,2008-08-20T07:24:45.275829+00:00,hg
